"","Generation","Crosses","Treatment","Exposure","Sample","Sex","Sugar.Weight","Glucose","Trehalose","Glycogen","Fat.Weight","TAG","Fitness","X"
"109","F1","MnPc","NSD","Maternal",13,"female",3.89,8.607902079,9.833631838,18.25620495,3.6,14.1169487,403,NA
"110","F1","MnPc","NSD","Maternal",14,"female",3.64,1.783867033,5.553001853,8.431065094,3.81,22.57665309,505,NA
"111","F1","MnPc","NSD","Maternal",15,"female",3.79,6.504561746,11.79687223,10.23141145,3.78,54.16017363,460,NA
"112","F1","MnPc","NSD","Maternal",16,"female",3.83,6.396791865,10.25796905,20.24650879,3.8,46.33863302,251,NA
"113","F1","MnPc","NSD","Maternal",17,"female",4,7.52768595,10.0201403,8.828439698,3.77,17.21441777,276,NA
"114","F1","MnPc","NSD","Maternal",18,"female",3.91,7.560328023,13.02005421,10.85631155,3.84,25.64946731,597,NA
"115","F1","MnPc","NSD","Maternal",19,"female",3.96,9.562178799,11.01548953,11.90051392,3.61,15.85128106,170,NA
"116","F1","MnPc","NSD","Maternal",20,"female",3.78,6.399416677,11.33165548,11.61390146,3.66,49.65434437,341,NA
"117","F1","MnPc","NSD","Maternal",21,"female",4.01,9.028486421,12.88000422,18.29771679,3.87,32.20748901,231,NA
"118","F1","MnPc","NSD","Maternal",22,"female",3.54,3.656126482,8.952731996,9.459930751,3.87,19.62700366,183,NA
"119","F1","MnPc","NSD","Maternal",23,"female",3.63,9.946725678,11.80867345,14.88488636,3.56,36.17835008,411,NA
"120","F1","MnPc","NSD","Maternal",24,"female",3.66,5.734406439,14.08193777,22.42154701,3.45,39.71747906,329,NA
"121","F1","MnPc","NSD","Maternal",25,"female",NA,NA,NA,NA,NA,NA,405,NA
"122","F1","McPn","NSD","Paternal",1,"female",3.64,11.70475674,5.299852539,13.12154059,3.66,19.01553636,386,NA
"123","F1","McPn","NSD","Paternal",2,"female",3.39,5.955578962,17.32862628,17.14765225,3.93,21.30293854,371,NA
"124","F1","McPn","NSD","Paternal",3,"female",3.62,10.52613034,5.047766892,13.39895871,3.73,29.82431159,369,NA
"125","F1","McPn","NSD","Paternal",4,"female",3.61,8.660825102,3.454235061,8.643500854,3.97,21.4287408,262,NA
"126","F1","McPn","NSD","Paternal",5,"female",3.5,10.25337516,7.615900769,13.19553235,3.88,35.94021273,463,NA
"127","F1","McPn","NSD","Paternal",6,"female",3.76,8.372394867,5.6326645,16.09983689,3.35,25.12936797,454,NA
"128","F1","McPn","NSD","Paternal",7,"female",3.72,11.77851527,9.906157734,11.34453695,3.62,16.88780543,259,NA
"129","F1","McPn","NSD","Paternal",8,"female",3.76,10.50729659,3.392058368,10.69848508,3.89,38.59751155,280,NA
"130","F1","McPn","NSD","Paternal",9,"female",3.73,11.52202879,7.442549375,20.97441682,3.61,20.26208274,620,NA
"131","F1","McPn","NSD","Paternal",10,"female",3.74,10.87484381,7.896199958,23.64855475,3.45,20.97381322,337,NA
"132","F1","McPn","NSD","Paternal",11,"female",3.84,13.59794184,14.12631366,28.00265121,3.44,28.45273805,448,NA
"133","F1","McPn","NSD","Paternal",12,"female",4.02,10.57167635,5.645939321,18.99088318,3.65,32.44999952,244,NA
"134","F1","McPn","NSD","Paternal",13,"female",3.56,5.385922184,18.29355912,16.74493317,3.41,24.92117227,324,NA
"135","F1","McPn","NSD","Paternal",14,"female",3.79,5.493955122,15.36692793,25.85202437,3.72,18.33077774,185,NA
"136","F1","McPn","NSD","Paternal",15,"female",3.68,6.367580296,6.326997755,6.05704139,3.44,18.65566766,338,NA
"137","F1","McPn","NSD","Paternal",16,"female",3.82,10.03047977,10.85883399,22.19802702,3.7,16.10581627,265,NA
"138","F1","McPn","NSD","Paternal",17,"female",3.68,6.917340901,6.594888803,15.5676309,3.96,20.57857372,614,NA
"139","F1","McPn","NSD","Paternal",18,"female",3.26,8.712871287,4.873548383,10.90769893,3.94,19.19560544,524,NA
"140","F1","McPn","NSD","Paternal",19,"female",3.84,6.939846249,9.249268395,14.11028943,3.97,30.2614724,248,NA
"141","F1","McPn","NSD","Paternal",20,"female",3.69,5.89076459,9.699055091,14.35342134,3.72,25.23203272,204,NA
"142","F1","McPn","NSD","Paternal",21,"female",3.82,8.477467376,12.05822287,16.12030588,3.71,28.5023375,315,NA
"143","F1","McPn","NSD","Paternal",22,"female",3.58,7.167552454,11.72832642,16.36809848,3.79,20.82603495,449,NA
"144","F1","McPn","NSD","Paternal",23,"female",3.97,5.630615375,13.18394273,19.99927447,3.51,40.11171945,501,NA
"145","F1","McPn","NSD","Paternal",24,"female",3.85,7.396687074,10.71902521,17.96193506,3.87,38.43050008,340,NA
"146","F1","McPn","NSD","Paternal",25,"female",NA,NA,NA,NA,NA,NA,468,NA
"147","F1","MnPn","NSD","Both",1,"female",3.62,10.55624877,11.2197775,20.37322436,3.63,30.70875474,656,NA
"148","F1","MnPn","NSD","Both",2,"female",3.77,7.586238392,6.639725439,12.53570098,3.68,34.52735902,206,NA
"149","F1","MnPn","NSD","Both",3,"female",3.47,8.094105456,5.849879768,14.29983394,3.71,24.67996053,322,NA
"150","F1","MnPn","NSD","Both",4,"female",4.03,11.86313928,7.877517253,33.16043726,3.82,30.77944105,268,NA
"151","F1","MnPn","NSD","Both",5,"female",3.46,9.372567951,4.257305395,12.87057841,3.42,24.06147663,288,NA
"152","F1","MnPn","NSD","Both",6,"female",3.89,9.841102972,10.55624802,34.23538434,3.7,32.94226987,356,NA
"153","F1","MnPn","NSD","Both",7,"female",3.49,10.82088866,8.235147825,12.16146282,3.52,54.48101609,358,NA
"154","F1","MnPn","NSD","Both",8,"female",3.83,11.30417371,6.234382391,40.31826401,3.39,43.83733509,306,NA
"155","F1","MnPn","NSD","Both",9,"female",3.66,10.10297258,6.985615692,8.829211564,3.66,81.24804526,377,NA
"156","F1","MnPn","NSD","Both",10,"female",3.8,10.86964742,7.445770788,8.974701124,3.27,29.56576143,627,NA
"157","F1","MnPn","NSD","Both",11,"female",3.75,12.70309015,10.44694776,19.21896154,3.46,27.54392383,240,NA
"158","F1","MnPn","NSD","Both",12,"female",3.61,11.23201293,7.572001241,13.63568667,3.77,62.62888099,261,NA
"159","F1","MnPn","NSD","Both",13,"female",3.97,12.32032854,14.60361245,28.68599134,3.35,32.31406036,374,NA
"160","F1","MnPn","NSD","Both",14,"female",3.65,6.988618388,6.677436122,18.21599436,3.85,53.24292202,305,NA
