"","contrast","estimate","std.error","statistic","p.value","generation","metabolite","sex","exposure","pAdj","results","pAdjALL","SignifAll"
"36","CrossesMcPn",-0.705275327738127,0.423585048216881,-1.66501468998268,0.0972654953377072,"F3","Glucose","female","Paternal",0.310622065755904," ",0.33431866308824," "
"37","CrossesMnPn",48.4400000000002,36.3482122439789,1.33266526768519,0.185796151498606,"F1","Fitness","female","Both",0.471636384573384," ",0.522551676089829," "
"38","CrossesMnPc",47.7600000000002,36.3482122439789,1.31395733246583,0.191991747186258,"F1","Fitness","female","Maternal",0.475179574285989," ",0.531669453746561," "
"39","CrossesMcPn",63.7600000000001,36.3482122439788,1.75414404350965,0.0825969629749585,"F1","Fitness","female","Paternal",0.281968942569686," ",0.303417415010052," "
"40","CrossesMnPn",10.2,46.0847125773107,0.221331531207636,0.825304401671259,"F2","Fitness","female","Both",0.96123689135829," ",0.999818594883818," "
"41","CrossesMnPc",43.9199999999998,46.0847125773107,0.953027534376407,0.342969593802469,"F2","Fitness","female","Maternal",0.640641316725367," ",0.7262885515817," "
"42","CrossesMcPn",-13.7200000000001,46.0847125773106,-0.297712608644,0.766565841412259,"F2","Fitness","female","Paternal",0.920183957992102," ",0.999818594883818," "
"43","CrossesMnPn",-32.8800000000001,37.0443409983226,-0.887584962072585,0.376982395819255,"F3","Fitness","female","Both",0.646078660995823," ",0.740564473078216," "
"44","CrossesMnPc",-27.68,37.0443409983226,-0.747212644469864,0.456761486840039,"F3","Fitness","female","Maternal",0.667921066130077," ",0.763825774088633," "
"45","CrossesMcPn",-8.87999999999998,37.0443409983225,-0.239712726983106,0.811064048716736,"F3","Fitness","female","Paternal",0.95589691455901," ",0.999818594883818," "
"46","CrossesMnPn",0.0562500000000002,0.0416992173578938,1.34894618086524,0.179012001658895,"F1","Weight","female","Both",0.471636384573384," ",0.517714670973608," "
"47","CrossesMnPc",0.114166666666667,0.0416992173578938,2.7378611374598,0.00679130897913005,"F1","Weight","female","Maternal",0.0517184299179904,".",0.0531493746192786,"."
"48","CrossesMcPn",0.0170833333333333,0.0416992173578937,0.409679951225736,0.682517283371656,"F1","Weight","female","Paternal",0.83418779078758," ",0.959789929741392," "
"49","CrossesMnPn",0.0433333333333333,0.0474382027135391,0.913469120974218,0.362191256641499,"F2","Weight","female","Both",0.646078660995823," ",0.732521642645729," "
"50","CrossesMnPc",0.0733333333333334,0.047438202713539,1.54587082011022,0.123853952608473,"F2","Weight","female","Maternal",0.383173165882464," ",0.39346610544674," "
"51","CrossesMcPn",0.16125,0.047438202713539,3.39915913285599,0.000828730343445808,"F2","Weight","female","Paternal",0.0102555380001419,"*",0.00932321636376534,"**"
"52","CrossesMnPn",0.0562500000000002,0.0416992173578938,1.34894618086524,0.179012001658895,"F3","Weight","female","Both",0.471636384573384," ",0.517714670973608," "
"53","CrossesMnPc",0.114166666666667,0.0416992173578938,2.7378611374598,0.00679130897913005,"F3","Weight","female","Maternal",0.0517184299179904,".",0.0531493746192786,"."
"54","CrossesMcPn",0.0170833333333333,0.0416992173578937,0.409679951225736,0.682517283371656,"F3","Weight","female","Paternal",0.83418779078758," ",0.959789929741392," "
"55","CrossesMnPn",-7.43578221298434,3.61448038750043,-2.05722024075679,0.0410835557763951,"F1","TAG","male","Both",0.19367962008872," ",0.200358747611138," "
"56","CrossesMnPc",12.8809325680677,3.61971827365104,3.55854560887562,0.000475058457093251,"F1","TAG","male","Maternal",0.00696850544103414,"**",0.00591267128330169,"**"
"57","CrossesMcPn",32.7376202037135,3.61530537282527,9.05528491446075,2.02907661903659e-16,"F1","TAG","male","Paternal",2.00878585284622e-14,"***",1.82616895713293e-14,"***"
"58","CrossesMnPn",-0.239971273097954,3.24216955210268,-0.0740156457710001,0.941078777642593,"F2","TAG","male","Both",0.997854907033459," ",0.999818594883818," "
"59","CrossesMnPc",6.2041528192288,3.24083889423433,1.91436631739591,0.0571334721959857,"F2","TAG","male","Maternal",0.242128591300761," ",0.244857737982796," "
"60","CrossesMcPn",6.04031794053548,3.26636555597688,1.84924737817013,0.0660350703547531,"F2","TAG","male","Paternal",0.242128591300761," ",0.252900269443735," "
"61","CrossesMnPn",2.92006242038741,2.67527802224443,1.09149867643947,0.276190643104157,"F3","TAG","male","Both",0.536134777790422," ",0.637363022548054," "
"62","CrossesMnPc",1.24882528924403,2.6596946484828,0.469537091393712,0.639128678944401,"F3","TAG","male","Maternal",0.811201784814047," ",0.927767437177356," "
"63","CrossesMcPn",2.59373846947358,2.65999037248739,0.975093179396791,0.330534043163776,"F3","TAG","male","Paternal",0.629285966792573," ",0.708287235350948," "
"64","CrossesMnPn",-5.13447637279991,1.91074542355815,-2.68715879650706,0.00787034565065763,"F1","Glycogen","male","Both",0.0556545871010789,".",0.0590275923799322,"."
"65","CrossesMnPc",0.293109832131932,1.91791693377976,0.152827177741365,0.87870294108023,"F1","Glycogen","male","Maternal",0.98578369716854," ",0.999818594883818," "
"66","CrossesMcPn",5.08613345933205,1.91697468366384,2.6532084657535,0.00867419946121264,"F1","Glycogen","male","Paternal",0.0572497164440034,".",0.062454236120731,"."
"67","CrossesMnPn",-1.29070735812503,1.66298639079182,-0.77613825661584,0.438669294239721,"F2","Glycogen","male","Both",0.667921066130077," ",0.763825774088633," "
"68","CrossesMnPc",-1.49150272468539,1.66125628776533,-0.897816150144847,0.370463258342374,"F2","Glycogen","male","Maternal",0.646078660995823," ",0.740564473078216," "
"69","CrossesMcPn",5.52054945358846,1.66145092740705,3.32272796176059,0.00107646977952531,"F2","Glycogen","male","Paternal",0.0118411675747784,"*",0.0113979153126209,"*"
"70","CrossesMnPn",-2.04232950995587,1.84365371337959,-1.10776199192639,0.269116730115287,"F3","Glycogen","male","Both",0.536134777790422," ",0.637363022548054," "
"71","CrossesMnPc",-0.0525930610024102,1.83747324799385,-0.0286224907273242,0.977190386931277,"F3","Glycogen","male","Maternal",0.997854907033459," ",0.999818594883818," "
"72","CrossesMcPn",-0.762130917756635,1.84331027923885,-0.41345774845423,0.679654841764728,"F3","Glycogen","male","Paternal",0.83418779078758," ",0.959789929741392," "
"73","CrossesMnPn",-2.3154385373731,1.53831751045115,-1.50517596116685,0.134002879076233,"F1","Trehalose","male","Both",0.390184853780795," ",0.408822342944438," "
"74","CrossesMnPc",0.879593426253303,1.54409120464099,0.569651212058948,0.569612891697581,"F1","Trehalose","male","Maternal",0.754091043131303," ",0.861170838136425," "
"75","CrossesMcPn",0.00415488888020433,1.54333261072541,0.00269215388266267,0.997854907033459,"F1","Trehalose","male","Paternal",0.997854907033459," ",0.999818594883818," "
"76","CrossesMnPn",5.87512119228167,1.14092340519076,5.1494440078555,6.71119791786169e-07,"F2","Trehalose","male","Both",3.32204296934154e-05,"***",2.01335937535851e-05,"***"
"77","CrossesMnPc",4.04409769804577,1.13973643514264,3.54827447236927,0.000492722606941808,"F2","Trehalose","male","Maternal",0.00696850544103414,"**",0.00591267128330169,"**"
"78","CrossesMcPn",4.44696028050052,1.13986997136641,3.90128733294883,0.000134294569253309,"F2","Trehalose","male","Paternal",0.00332379058901939,"**",0.00201441853879963,"**"
"79","CrossesMnPn",0.787692314538238,1.27867263726764,0.61602343835357,0.538485579007515,"F3","Trehalose","male","Both",0.74485977188891," ",0.846027831373615," "
"80","CrossesMnPc",0.260204499080892,1.27438615335964,0.204180262312895,0.83839240761911,"F3","Trehalose","male","Maternal",0.965126143654558," ",0.999818594883818," "
"81","CrossesMcPn",0.0376457058057693,1.27843444728908,0.0294467235966593,0.976533733654921,"F3","Trehalose","male","Paternal",0.997854907033459," ",0.999818594883818," "
"82","CrossesMnPn",-1.00601786736239,0.595583560109038,-1.68912967842533,0.0928976393075237,"F1","Glucose","male","Both",0.306562209714828," ",0.33431866308824," "
"83","CrossesMnPc",-0.0947781230714031,0.597818935652259,-0.1585398478019,0.874206241807272,"F1","Glucose","male","Maternal",0.98578369716854," ",0.999818594883818," "
"84","CrossesMcPn",0.48378734289954,0.59752523421426,0.809651735521623,0.419191872712826,"F1","Glucose","male","Paternal",0.652721735527228," ",0.751084318831976," "
