"","Generation","Crosses","Treatment","Exposure","Sample","Sex","Sugar.Weight","Glucose","Trehalose","Glycogen","Fat.Weight","TAG","Fitness"
"238","F2","McPn","NSD","Paternal",14,"male",2.55,7.36,19.64,21.51,2.29,28.09212631,NA
"239","F2","McPn","NSD","Paternal",15,"male",2.57,11.67,19.04,24.56,2.2,22.09861839,NA
"240","F2","McPn","NSD","Paternal",16,"male",2.58,12.76,12.38,15.815,2.48,38.33273517,NA
"241","F2","McPn","NSD","Paternal",17,"male",2.54,13.15,13.96,14.42,2.46,51.18846719,NA
"242","F2","McPn","NSD","Paternal",18,"male",2.38,10.42,20.18,29.835,2.55,43.60020253,NA
"243","F2","McPn","NSD","Paternal",19,"male",2.39,9.24,19.25,23.885,2.62,40.01434272,NA
"244","F2","McPn","NSD","Paternal",20,"male",2.61,12.24,16.64,27.175,2.49,41.23706538,NA
"245","F2","McPn","NSD","Paternal",21,"male",2.35,10.32,15.92,18.765,2.32,32.29347826,NA
"246","F2","McPn","NSD","Paternal",22,"male",2.4,11.17,19.11,25.14,2.32,55.19554819,NA
"247","F2","McPn","NSD","Paternal",23,"male",2.66,10.93,18.94,26.925,2.73,55.36216158,NA
"248","F2","McPn","NSD","Paternal",24,"male",2.7,12.74,19.76,28.165,2.51,86.80568622,NA
"249","F2","McPn","NSD","Paternal",25,"male",NA,NA,NA,NA,NA,NA,NA
"250","F2","MnPn","NSD","Both",1,"male",2.6,5.57,21.19,17.185,2.44,26.18599744,NA
"251","F2","MnPn","NSD","Both",2,"male",2.89,7.31,14.13,8.255,2.64,21.72946099,NA
"252","F2","MnPn","NSD","Both",3,"male",2.6,12.12,20.63,19.98,2.56,63.63721364,NA
"253","F2","MnPn","NSD","Both",4,"male",2.52,8.3,14,17.065,2.57,37.10963491,NA
"254","F2","MnPn","NSD","Both",5,"male",2.52,12.64,35.36,11.44,2.62,80.61143696,NA
"255","F2","MnPn","NSD","Both",6,"male",2.72,9.88,28.51,20.865,2.39,24.18921594,NA
"256","F2","MnPn","NSD","Both",7,"male",2.56,10.69,21.16,14.94,2.19,12.34074651,NA
"257","F2","MnPn","NSD","Both",8,"male",2.62,11.68,28.08,17.315,2.41,23.56244067,NA
"258","F2","MnPn","NSD","Both",9,"male",2.51,8.19,26.7,19.895,2.32,26.45600546,NA
"259","F2","MnPn","NSD","Both",10,"male",2.66,11.96,27.22,17.655,2.29,16.34964478,NA
"260","F2","MnPn","NSD","Both",11,"male",2.77,8.95,27.8,9.96,2.57,22.94706365,NA
"261","F2","MnPn","NSD","Both",12,"male",2.81,11.3,29.14,12.565,2.55,25.84479221,NA
"262","F2","MnPn","NSD","Both",13,"male",2.54,9.27,11.83,17.64,2.48,35.32911808,NA
"263","F2","MnPn","NSD","Both",14,"male",2.61,6.37,11.76,11.71,2.42,45.24060962,NA
"264","F2","MnPn","NSD","Both",15,"male",2.59,7.09,20.32,7.985,2.7,28.03999468,NA
"265","F2","MnPn","NSD","Both",16,"male",2.39,6.37,10.79,11.66,2.66,30.0060409,NA
"266","F2","MnPn","NSD","Both",17,"male",2.53,10.77,16.14,13.255,2.37,19.34325241,NA
